id,name,css
"angleciaprodisplayblackita","Anglecia Pro Display Black Ita","Anglecia Pro Display Black Ita, system-ui, -apple-system, sans-serif"
"angleciaprodisplayextltita","Anglecia Pro Display Ext Lt Ita","Anglecia Pro Display Ext Lt Ita, system-ui, -apple-system, sans-serif"
"angleciaprodisplaymedita","Anglecia Pro Display Med Ita","Anglecia Pro Display Med Ita, system-ui, -apple-system, sans-serif"
"angleciaprodisplaysembdita","Anglecia Pro Display Sem Bd Ita","Anglecia Pro Display Sem Bd Ita, system-ui, -apple-system, sans-serif"
"angleciaprotext","Anglecia Pro Text","Anglecia Pro Text, system-ui, -apple-system, sans-serif"
"angleciaprotextsembdita","Anglecia Pro Text Sem Bd Ita","Anglecia Pro Text Sem Bd Ita, system-ui, -apple-system, sans-serif"
"angleciaprotitle","Anglecia Pro Title","Anglecia Pro Title, system-ui, -apple-system, sans-serif"
"angleciaprotitlesembdita","Anglecia Pro Title Sem Bd Ita","Anglecia Pro Title Sem Bd Ita, system-ui, -apple-system, sans-serif"
"apercupro","Apercu Pro","Apercu Pro, system-ui, -apple-system, sans-serif"
"aquawaxpro","Aquawax Pro","Aquawax Pro, system-ui, -apple-system, sans-serif"
"arethusapro","Arethusa Pro","Arethusa Pro, system-ui, -apple-system, sans-serif"
"arethusaprobook","Arethusa Pro Book","Arethusa Pro Book, system-ui, -apple-system, sans-serif"
"aristapro","Arista Pro","Arista Pro, system-ui, -apple-system, sans-serif"
"aristaproalternate","Arista Pro Alternate","Arista Pro Alternate, system-ui, -apple-system, sans-serif"
"aristaproalternatefat","Arista Pro Alternate Fat","Arista Pro Alternate Fat, system-ui, -apple-system, sans-serif"
"aristaproalternatehairline","Arista Pro Alternate Hairline","Arista Pro Alternate Hairline, system-ui, -apple-system, sans-serif"
"aristaprofat","Arista Pro Fat","Arista Pro Fat, system-ui, -apple-system, sans-serif"
"aristaprohairline","Arista Pro Hairline","Arista Pro Hairline, system-ui, -apple-system, sans-serif"
"aristaproicons","Arista Pro Icons","Arista Pro Icons, system-ui, -apple-system, sans-serif"
"aristaproiconshairline","Arista Pro Icons Hairline","Arista Pro Icons Hairline, system-ui, -apple-system, sans-serif"
"arkhipfont","Arkhip font","Arkhip font, system-ui, -apple-system, sans-serif"
"arnopro","Arno Pro","Arno Pro, system-ui, -apple-system, sans-serif"
"arnoproboldcaption","Arno Pro Bold Caption","Arno Pro Bold Caption, system-ui, -apple-system, sans-serif"
"arnoprobolddisplay","Arno Pro Bold Display","Arno Pro Bold Display, system-ui, -apple-system, sans-serif"
