id,name,css
"bodygrotesque","Body Grotesque","Body Grotesque, system-ui, -apple-system, sans-serif"
"bodygrotesqueextra","Body Grotesque Extra","Body Grotesque Extra, system-ui, -apple-system, sans-serif"
"bodygrotesquefit","Body Grotesque Fit","Body Grotesque Fit, system-ui, -apple-system, sans-serif"
"bodygrotesquefitextra","Body Grotesque Fit Extra","Body Grotesque Fit Extra, system-ui, -apple-system, sans-serif"
"bodygrotesquelarge","Body Grotesque Large","Body Grotesque Large, system-ui, -apple-system, sans-serif"
"bodygrotesquelargeextra","Body Grotesque Large Extra","Body Grotesque Large Extra, system-ui, -apple-system, sans-serif"
"bodygrotesqueslim","Body Grotesque Slim","Body Grotesque Slim, system-ui, -apple-system, sans-serif"
"bodygrotesqueslimextra","Body Grotesque Slim Extra","Body Grotesque Slim Extra, system-ui, -apple-system, sans-serif"
"bodytext","Body Text","Body Text, system-ui, -apple-system, sans-serif"
"bodytextextra","Body Text Extra","Body Text Extra, system-ui, -apple-system, sans-serif"
"bodytextfit","Body Text Fit","Body Text Fit, system-ui, -apple-system, sans-serif"
"bodytextfitextra","Body Text Fit Extra","Body Text Fit Extra, system-ui, -apple-system, sans-serif"
"bodytextlarge","Body Text Large","Body Text Large, system-ui, -apple-system, sans-serif"
"bodytextlargeextra","Body Text Large Extra","Body Text Large Extra, system-ui, -apple-system, sans-serif"
"bodytextslim","Body Text Slim","Body Text Slim, system-ui, -apple-system, sans-serif"
"bodytextslimextra","Body Text Slim Extra","Body Text Slim Extra, system-ui, -apple-system, sans-serif"
"bradobrei","Bradobrei","Bradobrei, system-ui, -apple-system, sans-serif"
"breecyr","Bree CYR","Bree CYR, system-ui, -apple-system, sans-serif"
"breecyrboldoblique","Bree CYR Bold Oblique","Bree CYR Bold Oblique, system-ui, -apple-system, sans-serif"
"breecyrbook","Bree CYR Book","Bree CYR Book, system-ui, -apple-system, sans-serif"
"breecyrbookoblique","Bree CYR Book Oblique","Bree CYR Book Oblique, system-ui, -apple-system, sans-serif"
"breecyrextraboldoblique","Bree CYR Extrabold Oblique","Bree CYR Extrabold Oblique, system-ui, -apple-system, sans-serif"
"breecyrregularoblique","Bree CYR Regular Oblique","Bree CYR Regular Oblique, system-ui, -apple-system, sans-serif"
"breecyrsemiboldoblique","Bree CYR Semibold Oblique","Bree CYR Semibold Oblique, system-ui, -apple-system, sans-serif"
"brionipro","Brioni Pro","Brioni Pro, system-ui, -apple-system, sans-serif"
"brionisanspro","Brioni Sans Pro","Brioni Sans Pro, system-ui, -apple-system, sans-serif"
"brionitextpro","Brioni Text Pro","Brioni Text Pro, system-ui, -apple-system, sans-serif"
"brutaltype","Brutal Type","Brutal Type, system-ui, -apple-system, sans-serif"
"brygada1","Brygada1","Brygada1, system-ui, -apple-system, sans-serif"
"butiksans","Butik Sans","Butik Sans, system-ui, -apple-system, sans-serif"
"bwmodelicalgc","Bw Modelica LGC","Bw Modelica LGC, system-ui, -apple-system, sans-serif"
"bwmodelicalgchairline","Bw Modelica LGC Hairline","Bw Modelica LGC Hairline, system-ui, -apple-system, sans-serif"
"bwsurco","Bw Surco","Bw Surco, system-ui, -apple-system, sans-serif"
"bwsurcobook","Bw Surco Book","Bw Surco Book, system-ui, -apple-system, sans-serif"
"calibri","Calibri","Calibri, system-ui, -apple-system, sans-serif"
"canisminor","canis minor","canis minor, system-ui, -apple-system, sans-serif"
"carismaclassic400","Carisma Classic 400","Carisma Classic 400, system-ui, -apple-system, sans-serif"
"carismaclassic400regularoblique","Carisma Classic 400 Regular Oblique","Carisma Classic 400 Regular Oblique, system-ui, -apple-system, sans-serif"
"carismaclassic500","Carisma Classic 500","Carisma Classic 500, system-ui, -apple-system, sans-serif"
"carismaclassic500mediumoblique","Carisma Classic 500 Medium Oblique","Carisma Classic 500 Medium Oblique, system-ui, -apple-system, sans-serif"
"carismaclassic600","Carisma Classic 600","Carisma Classic 600, system-ui, -apple-system, sans-serif"
"carismaclassic600demiboldoblique","Carisma Classic 600 Demi Bold Oblique","Carisma Classic 600 Demi Bold Oblique, system-ui, -apple-system, sans-serif"
"carismaclassic700","Carisma Classic 700","Carisma Classic 700, system-ui, -apple-system, sans-serif"
"carismaclassic700boldoblique","Carisma Classic 700 Bold Oblique","Carisma Classic 700 Bold Oblique, system-ui, -apple-system, sans-serif"
"carismagothic100hairline","Carisma Gothic 100 Hairline","Carisma Gothic 100 Hairline, system-ui, -apple-system, sans-serif"
"carismagothic100hairlineoblique","Carisma Gothic 100 Hairline Oblique","Carisma Gothic 100 Hairline Oblique, system-ui, -apple-system, sans-serif"
"carismagothic400","Carisma Gothic 400","Carisma Gothic 400, system-ui, -apple-system, sans-serif"
"carismagothic400regularoblique","Carisma Gothic 400 Regular Oblique","Carisma Gothic 400 Regular Oblique, system-ui, -apple-system, sans-serif"
"carismagothic500","Carisma Gothic 500","Carisma Gothic 500, system-ui, -apple-system, sans-serif"
"carismagothic500mediumoblique","Carisma Gothic 500 Medium Oblique","Carisma Gothic 500 Medium Oblique, system-ui, -apple-system, sans-serif"
"carismagothic600","Carisma Gothic 600","Carisma Gothic 600, system-ui, -apple-system, sans-serif"
"carismagothic600demiboldoblique","Carisma Gothic 600 Demi Bold Oblique","Carisma Gothic 600 Demi Bold Oblique, system-ui, -apple-system, sans-serif"
"carismagothic700","Carisma Gothic 700","Carisma Gothic 700, system-ui, -apple-system, sans-serif"
"carismagothic700boldoblique","Carisma Gothic 700 Bold Oblique","Carisma Gothic 700 Bold Oblique, system-ui, -apple-system, sans-serif"
"carismagothic800","Carisma Gothic 800","Carisma Gothic 800, system-ui, -apple-system, sans-serif"
"carismagothic800extraboldoblique","Carisma Gothic 800 Extra Bold Oblique","Carisma Gothic 800 Extra Bold Oblique, system-ui, -apple-system, sans-serif"
"carismagothic900","Carisma Gothic 900","Carisma Gothic 900, system-ui, -apple-system, sans-serif"
"carismagothic900ultraboldoblique","Carisma Gothic 900 Ultra Bold Oblique","Carisma Gothic 900 Ultra Bold Oblique, system-ui, -apple-system, sans-serif"
"carismainline","Carisma Inline","Carisma Inline, system-ui, -apple-system, sans-serif"
"carismainlineregularoblique","Carisma Inline Regular Oblique","Carisma Inline Regular Oblique, system-ui, -apple-system, sans-serif"
"carmen","Carmen","Carmen, system-ui, -apple-system, sans-serif"
"carossoft","Caros Soft","Caros Soft, system-ui, -apple-system, sans-serif"
"casuspro","Casus Pro","Casus Pro, system-ui, -apple-system, sans-serif"
"casusprobook","Casus Pro Book","Casus Pro Book, system-ui, -apple-system, sans-serif"
"celaraz","Celaraz","Celaraz, system-ui, -apple-system, sans-serif"
"celarazextra","Celaraz Extra","Celaraz Extra, system-ui, -apple-system, sans-serif"
"centurygothic","Century Gothic","Century Gothic, system-ui, -apple-system, sans-serif"
"cerapro","Cera Pro","Cera Pro, system-ui, -apple-system, sans-serif"
"chava","Chava","Chava, system-ui, -apple-system, sans-serif"
"chronicapro","Chronica Pro","Chronica Pro, system-ui, -apple-system, sans-serif"
"circe","Circe","Circe, system-ui, -apple-system, sans-serif"
"circeslabc","Circe Slab C","Circe Slab C, system-ui, -apple-system, sans-serif"
"cocogooseclassic","Cocogoose Classic","Cocogoose Classic, system-ui, -apple-system, sans-serif"
"cocogooseclassicextra","Cocogoose Classic Extra","Cocogoose Classic Extra, system-ui, -apple-system, sans-serif"
"cocogoosecompressed","Cocogoose Compressed","Cocogoose Compressed, system-ui, -apple-system, sans-serif"
"cocogoosecompressedboldita","Cocogoose Compressed Bold Ita","Cocogoose Compressed Bold Ita, system-ui, -apple-system, sans-serif"
"cocogoosecompressedletterpress","Cocogoose Compressed Letterpress","Cocogoose Compressed Letterpress, system-ui, -apple-system, sans-serif"
"cocogoosecompressedsemltita","Cocogoose Compressed Sem Lt Ita","Cocogoose Compressed Sem Lt Ita, system-ui, -apple-system, sans-serif"
"cocogoosecompressedultltita","Cocogoose Compressed Ult Lt Ita","Cocogoose Compressed Ult Lt Ita, system-ui, -apple-system, sans-serif"
"cocogoosecondensed","Cocogoose Condensed","Cocogoose Condensed, system-ui, -apple-system, sans-serif"
"cocogoosecondensedletterpress","Cocogoose Condensed Letterpress","Cocogoose Condensed Letterpress, system-ui, -apple-system, sans-serif"
"cocogoosecondensedsemltita","Cocogoose Condensed Sem Lt Ita","Cocogoose Condensed Sem Lt Ita, system-ui, -apple-system, sans-serif"
"cocogoosecondensedultltita","Cocogoose Condensed Ult Lt Ita","Cocogoose Condensed Ult Lt Ita, system-ui, -apple-system, sans-serif"
"cocogoosenarrow","Cocogoose Narrow","Cocogoose Narrow, system-ui, -apple-system, sans-serif"
"cocogoosenarrowletterpress","Cocogoose Narrow Letterpress","Cocogoose Narrow Letterpress, system-ui, -apple-system, sans-serif"
"cocogoosepro","Cocogoose Pro","Cocogoose Pro, system-ui, -apple-system, sans-serif"
"cocomat","Cocomat","Cocomat, system-ui, -apple-system, sans-serif"
"codeccold","Codec Cold","Codec Cold, system-ui, -apple-system, sans-serif"
"codeccoldlogo","Codec Cold Logo","Codec Cold Logo, system-ui, -apple-system, sans-serif"
"codeccoldnews","Codec Cold News","Codec Cold News, system-ui, -apple-system, sans-serif"
"codecwarm","Codec Warm","Codec Warm, system-ui, -apple-system, sans-serif"
"codecwarmlogo","Codec Warm Logo","Codec Warm Logo, system-ui, -apple-system, sans-serif"
"codecwarmnews","Codec Warm News","Codec Warm News, system-ui, -apple-system, sans-serif"
"comfortaa","Comfortaa","Comfortaa, system-ui, -apple-system, sans-serif"
"conamore","Conamore","Conamore, system-ui, -apple-system, sans-serif"
"conamoresemi","Conamore Semi","Conamore Semi, system-ui, -apple-system, sans-serif"
"conquerorsans","Conqueror Sans","Conqueror Sans, system-ui, -apple-system, sans-serif"
"corbel","Corbel","Corbel, system-ui, -apple-system, sans-serif"
"corerhino45","Core Rhino45","Core Rhino45, system-ui, -apple-system, sans-serif"
"corerhino55","Core Rhino55","Core Rhino55, system-ui, -apple-system, sans-serif"
"corerhino65","Core Rhino65","Core Rhino65, system-ui, -apple-system, sans-serif"
"corerhino75","Core Rhino75","Core Rhino75, system-ui, -apple-system, sans-serif"
"corerhino85","Core Rhino85","Core Rhino85, system-ui, -apple-system, sans-serif"
"coresansc45","Core Sans C 45","Core Sans C 45, system-ui, -apple-system, sans-serif"
"coresansc45regularit","Core Sans C 45Regular It","Core Sans C 45Regular It, system-ui, -apple-system, sans-serif"
"coresansc55","Core Sans C 55","Core Sans C 55, system-ui, -apple-system, sans-serif"
"coresansc55mediumit","Core Sans C 55Medium It","Core Sans C 55Medium It, system-ui, -apple-system, sans-serif"
"coresansc65","Core Sans C 65","Core Sans C 65, system-ui, -apple-system, sans-serif"
"coresansc65boldit","Core Sans C 65Bold It","Core Sans C 65Bold It, system-ui, -apple-system, sans-serif"
"coresansc75","Core Sans C 75","Core Sans C 75, system-ui, -apple-system, sans-serif"
"coresansc75extraboldit","Core Sans C 75Extra Bold It","Core Sans C 75Extra Bold It, system-ui, -apple-system, sans-serif"
"coresansc85","Core Sans C 85","Core Sans C 85, system-ui, -apple-system, sans-serif"
"coresansc85heavyit","Core Sans C 85Heavy It","Core Sans C 85Heavy It, system-ui, -apple-system, sans-serif"
"coresansc95","Core Sans C 95","Core Sans C 95, system-ui, -apple-system, sans-serif"
"coresansc95blackit","Core Sans C 95Black It","Core Sans C 95Black It, system-ui, -apple-system, sans-serif"
"coresansds35","Core Sans DS 35","Core Sans DS 35, system-ui, -apple-system, sans-serif"
"coresansds45","Core Sans DS 45","Core Sans DS 45, system-ui, -apple-system, sans-serif"
"coresansds55","Core Sans DS 55","Core Sans DS 55, system-ui, -apple-system, sans-serif"
"coresansds65","Core Sans DS 65","Core Sans DS 65, system-ui, -apple-system, sans-serif"
"coresansds75","Core Sans DS 75","Core Sans DS 75, system-ui, -apple-system, sans-serif"
"cormorant","Cormorant","Cormorant, system-ui, -apple-system, sans-serif"
"corporatea","Corporate A","Corporate A, system-ui, -apple-system, sans-serif"
"corsagrotesk","Corsa Grotesk","Corsa Grotesk, system-ui, -apple-system, sans-serif"
"corsagroteskhairline","Corsa Grotesk Hairline","Corsa Grotesk Hairline, system-ui, -apple-system, sans-serif"
"corsagroteskx","Corsa Grotesk X","Corsa Grotesk X, system-ui, -apple-system, sans-serif"
"corsicalx","Corsica LX","Corsica LX, system-ui, -apple-system, sans-serif"
"corsicalxboldcond","Corsica LX Bold Cond","Corsica LX Bold Cond, system-ui, -apple-system, sans-serif"
"corsicalxboldcondit","Corsica LX Bold Cond It","Corsica LX Bold Cond It, system-ui, -apple-system, sans-serif"
"corsicalxbook","Corsica LX Book","Corsica LX Book, system-ui, -apple-system, sans-serif"
"corsicalxbookcond","Corsica LX Book Cond","Corsica LX Book Cond, system-ui, -apple-system, sans-serif"
"corsicalxbookcondit","Corsica LX Book Cond It","Corsica LX Book Cond It, system-ui, -apple-system, sans-serif"
"corsicalxmediumcond","Corsica LX Medium Cond","Corsica LX Medium Cond, system-ui, -apple-system, sans-serif"
"corsicalxmediumcondit","Corsica LX Medium Cond It","Corsica LX Medium Cond It, system-ui, -apple-system, sans-serif"
"corsicalxregularcond","Corsica LX Regular Cond","Corsica LX Regular Cond, system-ui, -apple-system, sans-serif"
"corsicalxregularcondit","Corsica LX Regular Cond It","Corsica LX Regular Cond It, system-ui, -apple-system, sans-serif"
"corsicalxsemiboldcond","Corsica LX Semi Bold Cond","Corsica LX Semi Bold Cond, system-ui, -apple-system, sans-serif"
"corsicalxsemiboldcondit","Corsica LX Semi Bold Cond It","Corsica LX Semi Bold Cond It, system-ui, -apple-system, sans-serif"
"corsicamx","Corsica MX","Corsica MX, system-ui, -apple-system, sans-serif"
"corsicamxboldcond","Corsica MX Bold Cond","Corsica MX Bold Cond, system-ui, -apple-system, sans-serif"
"corsicamxboldcondit","Corsica MX Bold Cond It","Corsica MX Bold Cond It, system-ui, -apple-system, sans-serif"
"corsicamxbook","Corsica MX Book","Corsica MX Book, system-ui, -apple-system, sans-serif"
"corsicamxbookcond","Corsica MX Book Cond","Corsica MX Book Cond, system-ui, -apple-system, sans-serif"
"corsicamxbookcondit","Corsica MX Book Cond It","Corsica MX Book Cond It, system-ui, -apple-system, sans-serif"
"corsicamxmediumcond","Corsica MX Medium Cond","Corsica MX Medium Cond, system-ui, -apple-system, sans-serif"
"corsicamxmediumcondit","Corsica MX Medium Cond It","Corsica MX Medium Cond It, system-ui, -apple-system, sans-serif"
"corsicamxregularcond","Corsica MX Regular Cond","Corsica MX Regular Cond, system-ui, -apple-system, sans-serif"
"corsicamxregularcondit","Corsica MX Regular Cond It","Corsica MX Regular Cond It, system-ui, -apple-system, sans-serif"
"corsicamxsemiboldcond","Corsica MX Semi Bold Cond","Corsica MX Semi Bold Cond, system-ui, -apple-system, sans-serif"
"corsicamxsemiboldcondit","Corsica MX Semi Bold Cond It","Corsica MX Semi Bold Cond It, system-ui, -apple-system, sans-serif"
"corsicasx","Corsica SX","Corsica SX, system-ui, -apple-system, sans-serif"
"corsicasxboldcond","Corsica SX Bold Cond","Corsica SX Bold Cond, system-ui, -apple-system, sans-serif"
"corsicasxboldcondit","Corsica SX Bold Cond It","Corsica SX Bold Cond It, system-ui, -apple-system, sans-serif"
"corsicasxbook","Corsica SX Book","Corsica SX Book, system-ui, -apple-system, sans-serif"
"corsicasxbookcond","Corsica SX Book Cond","Corsica SX Book Cond, system-ui, -apple-system, sans-serif"
"corsicasxbookcondit","Corsica SX Book Cond It","Corsica SX Book Cond It, system-ui, -apple-system, sans-serif"
"corsicasxmediumcond","Corsica SX Medium Cond","Corsica SX Medium Cond, system-ui, -apple-system, sans-serif"
"corsicasxmediumcondit","Corsica SX Medium Cond It","Corsica SX Medium Cond It, system-ui, -apple-system, sans-serif"
"corsicasxregularcond","Corsica SX Regular Cond","Corsica SX Regular Cond, system-ui, -apple-system, sans-serif"
"corsicasxregularcondit","Corsica SX Regular Cond It","Corsica SX Regular Cond It, system-ui, -apple-system, sans-serif"
"corsicasxsemiboldcond","Corsica SX Semi Bold Cond","Corsica SX Semi Bold Cond, system-ui, -apple-system, sans-serif"
"corsicasxsemiboldcondit","Corsica SX Semi Bold Cond It","Corsica SX Semi Bold Cond It, system-ui, -apple-system, sans-serif"
"creata","Creata","Creata, system-ui, -apple-system, sans-serif"
"cyntho","Cyntho","Cyntho, system-ui, -apple-system, sans-serif"
"cynthonext","Cyntho Next","Cyntho Next, system-ui, -apple-system, sans-serif"
"dehjutib","Dehjuti B","Dehjuti B, system-ui, -apple-system, sans-serif"
"diodrumcyrillic","Diodrum Cyrillic","Diodrum Cyrillic, system-ui, -apple-system, sans-serif"
"directo","Directo","Directo, system-ui, -apple-system, sans-serif"
"ebgaramond","EBGaramond","EBGaramond, system-ui, -apple-system, sans-serif"
"editserifcyrillic","Edit Serif Cyrillic","Edit Serif Cyrillic, system-ui, -apple-system, sans-serif"
"editserifcyrillicextra","Edit Serif Cyrillic Extra","Edit Serif Cyrillic Extra, system-ui, -apple-system, sans-serif"
"editserifcyrillicsemi","Edit Serif Cyrillic Semi","Edit Serif Cyrillic Semi, system-ui, -apple-system, sans-serif"
"effra","Effra","Effra, system-ui, -apple-system, sans-serif"
"eimantaspaskonishazelnutpro","Eimantas Paškonis Hazelnut Pro","Eimantas Paškonis Hazelnut Pro, system-ui, -apple-system, sans-serif"
"ekibastuz","Ekibastuz","Ekibastuz, system-ui, -apple-system, sans-serif"
"ekibastuzextra","Ekibastuz Extra","Ekibastuz Extra, system-ui, -apple-system, sans-serif"
"etelkapro","Etelka Pro","Etelka Pro, system-ui, -apple-system, sans-serif"
"evolvesans","Evolve Sans","Evolve Sans, system-ui, -apple-system, sans-serif"
"evolvesansboldevo","Evolve Sans Bold EVO","Evolve Sans Bold EVO, system-ui, -apple-system, sans-serif"
"evolvesansmediumevo","Evolve Sans Medium EVO","Evolve Sans Medium EVO, system-ui, -apple-system, sans-serif"
"evolvesansregularevo","Evolve Sans Regular EVO","Evolve Sans Regular EVO, system-ui, -apple-system, sans-serif"
"excentrapro","Excentra Pro","Excentra Pro, system-ui, -apple-system, sans-serif"
"exo2","Exo2","Exo2, system-ui, -apple-system, sans-serif"
"expresswaybk","Expressway Bk","Expressway Bk, system-ui, -apple-system, sans-serif"
"expresswaycdbk","Expressway Cd Bk","Expressway Cd Bk, system-ui, -apple-system, sans-serif"
"expresswaycdel","Expressway Cd El","Expressway Cd El, system-ui, -apple-system, sans-serif"
"expresswaycdlt","Expressway Cd Lt","Expressway Cd Lt, system-ui, -apple-system, sans-serif"
"expresswaycdrg","Expressway Cd Rg","Expressway Cd Rg, system-ui, -apple-system, sans-serif"
"expresswaycdsb","Expressway Cd Sb","Expressway Cd Sb, system-ui, -apple-system, sans-serif"
"expresswaycdxb","Expressway Cd Xb","Expressway Cd Xb, system-ui, -apple-system, sans-serif"
"expresswaylt","Expressway Lt","Expressway Lt, system-ui, -apple-system, sans-serif"
"expresswayrg","Expressway Rg","Expressway Rg, system-ui, -apple-system, sans-serif"
"expresswaysb","Expressway Sb","Expressway Sb, system-ui, -apple-system, sans-serif"
"expresswayxb","Expressway Xb","Expressway Xb, system-ui, -apple-system, sans-serif"
"expresswayxl","Expressway Xl","Expressway Xl, system-ui, -apple-system, sans-serif"
"exterior","Exterior","Exterior, system-ui, -apple-system, sans-serif"
"exteriorrough","Exterior Rough","Exterior Rough, system-ui, -apple-system, sans-serif"
"fact","Fact","Fact, system-ui, -apple-system, sans-serif"
"factcompressed","Fact Compressed","Fact Compressed, system-ui, -apple-system, sans-serif"
"factcondensed","Fact Condensed","Fact Condensed, system-ui, -apple-system, sans-serif"
"factexpanded","Fact Expanded","Fact Expanded, system-ui, -apple-system, sans-serif"
"factnarrow","Fact Narrow","Fact Narrow, system-ui, -apple-system, sans-serif"
"factsemiexpanded","Fact Semi Expanded","Fact Semi Expanded, system-ui, -apple-system, sans-serif"
"farreronsserif","Farrerons Serif","Farrerons Serif, system-ui, -apple-system, sans-serif"
"fenomensans","Fenomen Sans","Fenomen Sans, system-ui, -apple-system, sans-serif"
"fenomensansbook","Fenomen Sans Book","Fenomen Sans Book, system-ui, -apple-system, sans-serif"
"fenomensanshairline","Fenomen Sans Hairline","Fenomen Sans Hairline, system-ui, -apple-system, sans-serif"
"fenomensanssemi","Fenomen Sans Semi","Fenomen Sans Semi, system-ui, -apple-system, sans-serif"
"ffceleste","FFCeleste","FFCeleste, system-ui, -apple-system, sans-serif"
"ffdin","FFDIN","FFDIN, system-ui, -apple-system, sans-serif"
"ffnort","FFNort","FFNort, system-ui, -apple-system, sans-serif"
"finlandica","Finlandica","Finlandica, system-ui, -apple-system, sans-serif"
"firamono","Fira Mono","Fira Mono, system-ui, -apple-system, sans-serif"
"firasans","Fira Sans","Fira Sans, system-ui, -apple-system, sans-serif"
"firasanscondensed","Fira Sans Condensed","Fira Sans Condensed, system-ui, -apple-system, sans-serif"
"firasansextracondensed","Fira Sans Extra Condensed","Fira Sans Extra Condensed, system-ui, -apple-system, sans-serif"
"florentia","Florentia","Florentia, system-ui, -apple-system, sans-serif"
"florentiafat","Florentia Fat","Florentia Fat, system-ui, -apple-system, sans-serif"
"fontfabricgloberbook","Fontfabric Glober Book","Fontfabric Glober Book, system-ui, -apple-system, sans-serif"
"fontfabricglober","Fontfabric Glober.","Fontfabric Glober., system-ui, -apple-system, sans-serif"
"fontfabricgloberextra","Fontfabric Glober.Extra.","Fontfabric Glober.Extra., system-ui, -apple-system, sans-serif"
"fontfabricglobersemi","Fontfabric Glober.Semi.","Fontfabric Glober.Semi., system-ui, -apple-system, sans-serif"
"fontfabricmont","Fontfabric Mont","Fontfabric Mont, system-ui, -apple-system, sans-serif"
"fontfabricunineue","Fontfabric Uni Neue","Fontfabric Uni Neue, system-ui, -apple-system, sans-serif"
"fontfabricunineuebook","Fontfabric Uni Neue Book","Fontfabric Uni Neue Book, system-ui, -apple-system, sans-serif"
"fontinsanscyrillicb46b","Fontin Sans Cyrillic B 46b","Fontin Sans Cyrillic B 46b, system-ui, -apple-system, sans-serif"
"fontinsanscyrillicbi46b","Fontin Sans Cyrillic BI 46b","Fontin Sans Cyrillic BI 46b, system-ui, -apple-system, sans-serif"
"fontinsanscyrillici46b","Fontin Sans Cyrillic I 46b","Fontin Sans Cyrillic I 46b, system-ui, -apple-system, sans-serif"
"fontinsanscyrillicr46b","Fontin Sans Cyrillic R 46b","Fontin Sans Cyrillic R 46b, system-ui, -apple-system, sans-serif"
"fontinsanscyrillicsc46b","Fontin Sans Cyrillic SC 46b","Fontin Sans Cyrillic SC 46b, system-ui, -apple-system, sans-serif"
"formular","Formular","Formular, system-ui, -apple-system, sans-serif"
"formularmono","Formular Mono","Formular Mono, system-ui, -apple-system, sans-serif"
"foros","Foros","Foros, system-ui, -apple-system, sans-serif"
"foxgrotesquepro","Fox Grotesque Pro","Fox Grotesque Pro, system-ui, -apple-system, sans-serif"
"foxgrotesqueproextbdita","Fox Grotesque Pro Ext Bd Ita","Fox Grotesque Pro Ext Bd Ita, system-ui, -apple-system, sans-serif"
"frederik","Frederik","Frederik, system-ui, -apple-system, sans-serif"
"frutigerneueltw1g","Frutiger Neue LTW1G","Frutiger Neue LTW1G, system-ui, -apple-system, sans-serif"
"frutigerneueltw1gblackit","Frutiger Neue LTW1G Black It","Frutiger Neue LTW1G Black It, system-ui, -apple-system, sans-serif"
"frutigerneueltw1gboldit","Frutiger Neue LTW1G Bold It","Frutiger Neue LTW1G Bold It, system-ui, -apple-system, sans-serif"
"frutigerneueltw1gbook","Frutiger Neue LTW1G Book","Frutiger Neue LTW1G Book, system-ui, -apple-system, sans-serif"
"frutigerneueltw1gbookit","Frutiger Neue LTW1G Book It","Frutiger Neue LTW1G Book It, system-ui, -apple-system, sans-serif"
"frutigerneueltw1gcn","Frutiger Neue LTW1G Cn","Frutiger Neue LTW1G Cn, system-ui, -apple-system, sans-serif"
"frutigerneueltw1gcnblk","Frutiger Neue LTW1G Cn Blk","Frutiger Neue LTW1G Cn Blk, system-ui, -apple-system, sans-serif"
"frutigerneueltw1gcnblkit","Frutiger Neue LTW1G Cn Blk It","Frutiger Neue LTW1G Cn Blk It, system-ui, -apple-system, sans-serif"
"frutigerneueltw1gcnboldit","Frutiger Neue LTW1G Cn Bold It","Frutiger Neue LTW1G Cn Bold It, system-ui, -apple-system, sans-serif"
"frutigerneueltw1gcnbook","Frutiger Neue LTW1G Cn Book","Frutiger Neue LTW1G Cn Book, system-ui, -apple-system, sans-serif"
"frutigerneueltw1gcnbookit","Frutiger Neue LTW1G Cn Book It","Frutiger Neue LTW1G Cn Book It, system-ui, -apple-system, sans-serif"
"frutigerneueltw1gcnhv","Frutiger Neue LTW1G Cn Hv","Frutiger Neue LTW1G Cn Hv, system-ui, -apple-system, sans-serif"
"frutigerneueltw1gcnhvit","Frutiger Neue LTW1G Cn Hv It","Frutiger Neue LTW1G Cn Hv It, system-ui, -apple-system, sans-serif"
"frutigerneueltw1gcnlt","Frutiger Neue LTW1G Cn Lt","Frutiger Neue LTW1G Cn Lt, system-ui, -apple-system, sans-serif"
"frutigerneueltw1gcnltit","Frutiger Neue LTW1G Cn Lt It","Frutiger Neue LTW1G Cn Lt It, system-ui, -apple-system, sans-serif"
"frutigerneueltw1gcnmd","Frutiger Neue LTW1G Cn Md","Frutiger Neue LTW1G Cn Md, system-ui, -apple-system, sans-serif"
"frutigerneueltw1gcnmdit","Frutiger Neue LTW1G Cn Md It","Frutiger Neue LTW1G Cn Md It, system-ui, -apple-system, sans-serif"
"frutigerneueltw1gcnrg","Frutiger Neue LTW1G Cn Rg","Frutiger Neue LTW1G Cn Rg, system-ui, -apple-system, sans-serif"
"frutigerneueltw1gcnultlt","Frutiger Neue LTW1G Cn Ult Lt","Frutiger Neue LTW1G Cn Ult Lt, system-ui, -apple-system, sans-serif"
"frutigerneueltw1gcnultltit","Frutiger Neue LTW1G Cn Ult Lt It","Frutiger Neue LTW1G Cn Ult Lt It, system-ui, -apple-system, sans-serif"
"frutigerneueltw1gcnxblk","Frutiger Neue LTW1G Cn XBlk","Frutiger Neue LTW1G Cn XBlk, system-ui, -apple-system, sans-serif"
"frutigerneueltw1gcnxblkit","Frutiger Neue LTW1G Cn XBlk It","Frutiger Neue LTW1G Cn XBlk It, system-ui, -apple-system, sans-serif"
"frutigerneueltw1gheavyit","Frutiger Neue LTW1G Heavy It","Frutiger Neue LTW1G Heavy It, system-ui, -apple-system, sans-serif"
"frutigerneueltw1gmediumit","Frutiger Neue LTW1G Medium It","Frutiger Neue LTW1G Medium It, system-ui, -apple-system, sans-serif"
"frutigerneueltw1gultlt","Frutiger Neue LTW1G Ult Lt","Frutiger Neue LTW1G Ult Lt, system-ui, -apple-system, sans-serif"
"frutigerneueltw1gultltit","Frutiger Neue LTW1G Ult Lt It","Frutiger Neue LTW1G Ult Lt It, system-ui, -apple-system, sans-serif"
"frutigerneueltw1gx","Frutiger Neue LTW1G X","Frutiger Neue LTW1G X, system-ui, -apple-system, sans-serif"
"frutigerneueltw1gxblackit","Frutiger Neue LTW1G XBlack It","Frutiger Neue LTW1G XBlack It, system-ui, -apple-system, sans-serif"
"frypro","Fry Pro","Fry Pro, system-ui, -apple-system, sans-serif"
"fselliotpro","FSElliot Pro","FSElliot Pro, system-ui, -apple-system, sans-serif"
"fslucaspro","FSLucas Pro","FSLucas Pro, system-ui, -apple-system, sans-serif"
"fslucaspromed","FSLucas Pro Med","FSLucas Pro Med, system-ui, -apple-system, sans-serif"
"fslucasprosemibd","FSLucas Pro Semi Bd","FSLucas Pro Semi Bd, system-ui, -apple-system, sans-serif"
"fslucasproxtrabd","FSLucas Pro Xtra Bd","FSLucas Pro Xtra Bd, system-ui, -apple-system, sans-serif"
